id,title,parent_id,path,source_id,taxonomy_id,item_id
28843,Knowledge representation and reasoning,28825,/28798/28825/28843,460206,100,22708126
24196,Proteomics and metabolomics,24181,/24130/24181/24196,310205,100,22708126
24187,Biological network analysis,24181,/24130/24181/24187,310202,100,22708126
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22708126
29215,Computational logic and formal languages,29206,/28798/29206/29215,461303,100,22714639
27493,Migration,27484,/27391/27484/27493,440303,100,22710358
29887,Spatial statistics,29866,/29746/29866/29887,490507,100,22710358
29869,Applied statistics,29866,/29746/29866/29869,490501,100,22710358
27589,Population geography,27568,/27391/27568/27589,440607,100,22710124
27493,Migration,27484,/27391/27484/27493,440303,100,22710124
26875,Human impacts of climate change and human adaptation,26866,/26863/26866/26875,410103,100,22709602
24820,Optical technology,24814,/24457/24814/24820,321202,100,22704871
26407,Signal processing,26386,/26212/26386/26407,400607,100,22011098
24640,Medical biochemistry - amino acids and metabolites,24637,/24457/24637/24640,320501,100,22706689
29185,Formal methods for software,29176,/28798/29176/29185,461203,100,22701187
24247,Biogeography and phylogeography,24241,/24130/24241/24247,310402,100,21778004
24271,Phylogeny and comparative analysis,24241,/24130/24241/24271,310410,100,21777995
24820,Optical technology,24814,/24457/24814/24820,321202,100,22700752
28885,Image processing,28867,/28798/28867/28885,460306,100,22699945
61,Developmental Biology,48,,,10,22699356
157,Structural Biology,48,,,10,22699356
722,Animal Behaviour,48,,,10,22699356
29185,Formal methods for software,29176,/28798/29176/29185,461203,100,22698373
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22682608
24778,Cancer cell biology,24775,/24457/24775/24778,321101,100,22682608
24193,Genomics and transcriptomics,24181,/24130/24181/24193,310204,100,22695778
29812,Numerical analysis,29806,/29746/29806/29812,490302,100,21982472
29224,Numerical computation and mathematical software,29206,/28798/29206/29224,461306,100,21982472
28981,Distributed systems and algorithms,28966,/28798/28966/28981,460605,100,21982472
25852,Geodesy,25843,/25717/25843/25852,370603,100,22692919
26371,Structural engineering,26341,/26212/26341/26371,400510,100,22692781
26371,Structural engineering,26341,/26212/26341/26371,400510,100,22692778
24838,Infant and child health,24832,/24457/24832/24838,321302,100,22193737
27607,Human geography not elsewhere classified,27568,/27391/27568/27607,440699,100,15019749
26998,Other environmental sciences not elsewhere classified,26995,/26863/26995/26998,419999,100,15019749
24403,Animal cell and molecular biology,24397,/24130/24397/24403,310902,100,20419122
26239,Aerospace engineering not elsewhere classified,26215,/26212/26215/26239,400199,100,21508182
27403,Biological (physical) anthropology,27394,/27391/27394/27403,440103,100,22211020
27403,Biological (physical) anthropology,27394,/27391/27394/27403,440103,100,22211260
27403,Biological (physical) anthropology,27394,/27391/27394/27403,440103,100,22211311
27403,Biological (physical) anthropology,27394,/27391/27394/27403,440103,100,22211341
24280,Evolutionary biology not elsewhere classified,24241,/24130/24241/24280,310499,100,17315126
24223,Freshwater ecology,24211,/24130/24211/24223,310304,100,17315126
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22683577
26899,Landscape ecology,26881,/26863/26881/26899,410206,100,22683352
26896,Fire ecology,26881,/26863/26881/26896,410205,100,22683352
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22682701
26464,"Electrical energy generation (incl. renewables, excl. photovoltaics)",26455,/26212/26455/26464,400803,100,22680487
26467,Electrical energy storage,26455,/26212/26455/26467,400804,100,22680487
26470,"Electrical energy transmission, networks and systems",26455,/26212/26455/26470,400805,100,22680487
26482,Electrical engineering not elsewhere classified,26455,/26212/26455/26482,400899,100,22680487
26761,"Energy generation, conversion and storage (excl. chemical and electrical)",26752,/26212/26752/26761,401703,100,22680487
26779,Mechanical engineering not elsewhere classified,26752,/26212/26752/26779,401799,100,22680487
25792,Earth and space science informatics,25786,/25717/25786/25792,370402,100,22679812
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22679284
24193,Genomics and transcriptomics,24181,/24130/24181/24193,310204,100,22679284
24208,Bioinformatics and computational biology not elsewhere classified,24181,/24130/24181/24208,310299,100,22679284
29182,Empirical software engineering,29176,/28798/29176/29182,461202,100,22679206
27604,Urban geography,27568,/27391/27568/27604,440612,100,21983807
27589,Population geography,27568,/27391/27568/27589,440607,100,21983807
29218,Concurrency theory,29206,/28798/29206/29218,461304,100,22093766
24778,Cancer cell biology,24775,/24457/24775/24778,321101,100,22678549
