item_id,author_id,full_name,orcid_id
19142114,12060819,Francois Steyn,0000-0002-8952-5254
19142114,8450634,Ross Hofmeyr,0000-0002-9990-7459
19142114,12060830,Tristan Naidoo,0000-0001-9970-2421
13602836,12106037,Stanley Kimbung,
13602836,9998491,Hannah Painter,
13602836,9747765,Adam Penn-Nicholson,0000-0002-1883-0059
13602836,8984000,Asma Toefy,
13602836,10267261,Mzwandile Erasmus,
13602836,11646824,Willem A. Hanekom,
13602836,5793185,Thomas Scriba,0000-0002-0641-1359
13602836,11646825,Rachel P.J Lai,
13602836,11646827,Suzaan Marais,
13602836,11646829,Helen A. Fletcher,
13602836,11646830,Graeme Meintjes,
13602836,11646834,Robert J. Wilkinson,
13602836,11646837,Mark F. Cotton,
13602836,9998541,Savita Pahwa,
13602836,9978183,Mark J. Cameron,0000-0003-4768-4094
13602836,8984006,Elisa Nemes,
16831840,5561078,Miguel Julio Rodo,0000-0002-2036-4878
16831840,12077542,Melissa Murphy,
16831840,11623507,Anele Gela,
16831840,9985425,Kate Hadley,
16831840,11646824,Willem A. Hanekom,
16831840,8393111,Mark Hatherill,
16831840,8984006,Elisa Nemes,
16831840,5793185,Thomas Scriba,0000-0002-0641-1359
16831840,12084366,Libby Briel,
16831840,12084368,Helen Veldtsman,
16831840,12084370,Nondumiso Khomba,
19336586,9998819,Susan Holloway,
19336586,12223268,Rebecca Pieterse,
19336565,9998819,Susan Holloway,
19336565,12223268,Rebecca Pieterse,
19354331,9998876,Carryn de Moor,
19354331,10107125,Janet Coetzee,
19354331,10107124,Dagmar Merkle,
19354331,12237812,Jan Josef van der Westhuizen,
19354331,10107127,Carl van der Lingen,
19299062,6810554,Anthony Lowney,
19299062,9453261,Robert L. Thomson,0000-0002-6958-1259
17693510,11878107,Martin Kiwanuka,0000-0002-9971-6740
17693510,11458696,Ghodeejah Higgins,
17693510,11878111,Silindile Ngcobo,
17693510,11988617,Juliet Nagawa,0000-0002-3712-9647
17693510,170584,Dirk M. Lang,
17693510,11282408,Muhammad H. Zaman,0000-0002-3723-5431
17693510,7869041,Neil Davies,
17693510,4609669,Thomas Franz,0000-0002-1504-3842
17294087,11856554,Sonia Malczyk,0000-0001-5465-7970
17294087,10330336,Marjanne Senekal,
19029692,11991650,Jarryd Dunn,0000-0003-1882-1168
19099868,12024272,Angela Moreras,
19099868,9453261,Robert L. Thomson,0000-0002-6958-1259
16684846,11344461,Petra Holden,
16684846,10685650,Alanna J. Rebelo,0000-0002-7544-9895
16684846,6315120,Piotr Wolski,
16684846,11484437,Romaric Odoulami,
16684846,9539360,Kamoru Abiodun Lawal,
16684846,11484404,Joyce Kimutai,
16684846,11484418,Tiro Nkemelang,
16684846,6502289,Mark New,0000-0001-6082-8879
16866196,11602567,Muhsin Osman,
16866196,11983145,Ernesto Ismail,
16866196,5858551,Trevor Cloete,
17879324,11907806,Tyler Phillips,
17879324,11918201,Maxine Spedding,
17879033,11907806,Tyler Phillips,
17879033,11918201,Maxine Spedding,
17872025,11907806,Tyler Phillips,
17872025,11918201,Maxine Spedding,
