id,views,downloads,shares
2057775,961,218,0
833292,2156,426,0
3175252,1054,306,0
707007,917,631,0
1557870,2646,251,2
791594,829,73,0
19500704,17,4,0
19704544,73,13,0
14685765,69,9,0
19673508,52,6,0
6104648,491,313,3
4056480,691,402,0
19208793,33,0,0
1112515,1001,605,0
1618710,1288,405,0
1195886,696,273,0
11474562,183,25,0
695954,885,349,0
6104678,521,292,2
6104693,2482,475,11
8320646,103,39,0
8320643,190,46,0
6735137,315,63,0
14269858,88,108,0
19447217,78,36,0
14303580,40,25,0
14303282,88,60,0
5670931,395,37,0
11351114,212,69,0
3506264,1299,383,0
19967191,21,6,0
7739504,150,24,0
7739492,89,18,0
8091350,274,127,0
14319773,92,65,0
7509674,222,68,0
12689870,610,151,0
6693230,277,180,0
14303266,94,225,0
7418957,239,206,0
7516103,106,45,0
14272217,94,30,0
7368158,191,114,0
19967431,19,38,0
14303269,107,157,0
14303577,41,97,0
14180000,302,23,0
7508783,121,25,0
14319768,77,136,0
14303581,114,74,0
14319774,108,118,0
6503786,339,327,0
19967192,13,18,0
14390807,306,41,0
7513142,237,83,0
16763929,211,52,0
7418795,230,157,0
19967435,13,11,0
19920569,10,35,0
7390658,287,260,0
11350511,243,313,0
14269615,55,13,0
14178473,169,197,0
14536002,390,1355,0
19899993,61,28,0
12094548,173,632,0
11390820,185,54,0
7511090,138,32,0
14303582,70,145,0
19967434,23,11,0
7898822,311,207,0
14303583,109,183,0
19967489,21,10,0
8030993,202,88,0
5671168,351,314,0
7516628,225,44,0
12017010,1815,1496,7
19967233,19,7,0
13522718,2107,466,19
19967437,23,9,0
19967446,22,40,0
14170019,174,88,0
11350505,265,389,0
11350907,189,268,0
7622273,89,32,0
7622276,76,20,0
7739483,277,34,0
7739501,73,26,0
7622285,57,17,0
5720818,272,26,0
7739489,81,29,0
8092295,272,51,0
14268659,87,66,0
7512551,117,34,0
8031557,249,154,0
8320640,100,23,0
14303579,47,8,0
14269501,60,21,0
9871304,176,34,0
14319771,94,201,0
19904916,27,61,0
12146010,102,25,0
7512854,315,392,0
6318149,358,41,0
11965899,211,68,0
14303289,69,99,0
8320652,103,32,0
5734527,343,88,0
12146004,170,33,0
14303264,96,162,0
19967197,12,6,0
3565629,5647,1141,0
14303297,146,23,0
7739495,89,25,0
7622282,82,26,0
14329023,58,12,0
8320664,108,44,0
18280082,3309,15,0
19369379,87,39,0
15173601,196,47,0
19967203,13,14,0
8031455,271,168,0
14319755,88,24,0
7390655,252,51,0
7510895,306,151,0
19967455,20,13,0
19967198,16,11,0
7367615,245,257,0
7390664,339,325,0
12146022,216,38,0
19967459,27,31,0
8092019,143,40,0
14303578,37,13,0
19967263,19,26,0
19899855,26,21,0
19904924,28,38,0
19967207,17,0,0
10258160,236,317,0
7367783,346,238,0
11966031,142,26,0
8031290,266,74,0
19923823,36,17,0
7899266,203,175,0
3181465,1258,505,0
10271522,773,613,5
14319734,77,57,0
5882467,885,7,0
5883187,766,901,0
8320637,164,60,0
11965965,152,61,0
6681422,355,53,0
12146019,108,40,0
14319756,105,162,0
14740440,190,72,0
7390943,254,195,0
19967444,17,18,0
11350496,228,287,0
8961017,177,311,0
7512554,197,43,0
8100758,254,42,0
19967225,22,7,0
14319764,132,263,0
14319777,120,114,0
7510073,165,26,0
12363059,796,269,0
1482096,1839,443,0
8031242,288,71,0
14270842,96,11,0
11390826,193,88,0
10250381,687,423,0
7391072,199,46,0
14268341,107,332,0
7898849,267,48,0
14180009,115,22,0
7622279,97,29,0
8091725,121,26,0
5734536,250,397,0
19921421,30,47,0
6967937,230,271,0
12146013,130,39,0
7506332,286,30,0
14220173,7839,671,0
19967461,14,11,0
7418954,272,405,0
19967185,22,9,0
6318545,349,36,0
7418951,237,118,0
5483842,611,289,0
19967467,21,37,0
9986330,181,54,0
5671174,421,57,0
9685127,1601,219,0
11390676,137,33,0
12971084,275,92,0
11965866,109,23,0
14180006,278,22,0
14303276,36,204,0
14303268,101,176,0
19923975,32,26,0
19967212,27,8,0
19967453,22,7,0
14303263,96,34,0
8276171,2881,787,0
12971372,406,94,0
19967468,26,42,0
5718910,434,352,0
19967216,20,44,0
7509473,357,116,0
12672899,646,227,0
7739498,94,25,0
12146001,127,44,0
7622270,79,24,0
6094838,310,24,0
8320655,109,32,0
5720728,155,25,0
7507139,233,95,0
14269590,49,13,0
19967420,15,0,0
7622288,72,31,0
11335940,602,372,0
19967447,17,11,0
14303322,111,251,0
8320658,192,39,0
19967438,12,7,0
13109777,526,107,10
19967465,24,16,0
7390649,213,64,0
7420916,181,184,0
14319759,113,97,0
10326932,92,34,0
7622291,237,43,0
7515620,246,65,0
6503795,322,115,0
12146025,108,34,0
11965824,103,84,0
7185371,222,89,0
14303267,92,239,0
8031311,205,69,0
14319779,97,262,0
7622294,80,34,0
14303288,66,19,0
8092838,317,126,0
7418948,194,45,0
9927575,179,166,0
19923969,28,5,0
9775739,143,78,0
19904952,31,37,0
7513079,117,36,0
14303573,46,58,0
14179994,253,27,0
14180012,90,9,0
14180015,110,19,0
3749610,1400,509,0
6114425,2460,383,2
6681404,319,67,0
12672935,437,110,0
11350652,271,278,0
14303575,106,199,0
11325704,1129,177,0
6318488,247,171,0
11391027,99,29,0
6967619,328,231,0
16764064,330,342,0
11390574,293,161,0
14319770,122,322,0
19352006,78,45,0
19967441,18,33,0
12964481,337,610,0
14268287,83,133,0
14319740,112,24,0
19899891,41,31,0
11302559,404,159,1
19967219,16,20,0
20193328,4,0,0
